temperature,humidity,light_intensity,noise_level,pir_motion,person_count,door_state,window_state,co2_level,gas_leak,smoke_detected,rain_detected,voice_command,room_type,time_of_day,device,state
21.64,40.43,50.11,59.58,0,3,closed,open,1377.24,1,0,1,open the coffee_maker,office,morning,coffee_maker,OFF
39.64,65.66,15.96,61.36,1,3,open,open,1371.92,0,0,0,turn off the water_motor,living_room,morning,water_motor,OFF
33.58,24.56,32.15,20.37,1,2,open,closed,1740.21,0,1,0,what s up with the fan,bedroom,evening,fan,ON
23.47,76.52,16.16,65.87,0,0,open,open,834.56,0,1,1,turn off the music_system,office,morning,music_system,OFF
24.95,79.95,14.58,35.95,0,2,open,open,1050.74,1,1,0,switch off the humidifier,kitchen,evening,humidifier,OFF
24.43,74.98,90.4,30.14,0,2,open,closed,1986.47,1,0,1,open the aquarium_pump,office,night,aquarium_pump,ON
39.99,79.13,79.85,75.3,1,1,open,open,1606.82,1,0,1,status of the tv,bathroom,afternoon,tv,ON
38.88,43.01,72.67,71.97,0,2,closed,closed,1460.02,1,1,1,status of the music_system,bathroom,morning,music_system,ON
29.29,85.28,87.55,23.14,1,1,closed,closed,1991.95,1,0,0,close the ac,bedroom,night,ac,OFF
23.92,43.82,52.96,49.69,1,0,closed,open,1478.04,0,1,1,status of the coffee_maker,office,night,coffee_maker,OFF
17.48,62.01,87.32,12.41,0,1,open,open,1748.69,1,1,0,switch off the light,kitchen,afternoon,light,OFF
31.41,52.42,90.82,41.78,1,2,open,open,1922.88,0,1,1,check the geyser,living_room,morning,geyser,ON
22.11,75.73,37.01,10.86,0,2,closed,open,1194.91,0,1,1,switch off the fan,living_room,afternoon,fan,OFF
15.74,53.16,89.88,70.85,1,2,open,open,835.7,1,0,0,status of the refrigerator,garage,evening,refrigerator,ON
25.34,75.35,11.66,48.83,1,1,open,open,416.68,0,0,1,check the light,bedroom,night,light,ON
27.27,21.23,25.78,75.37,1,3,closed,open,1852.73,1,0,0,start the geyser,living_room,afternoon,geyser,ON
38.19,25.84,72.65,18.03,0,1,closed,open,434.59,1,0,1,how s the aquarium_pump,bedroom,evening,aquarium_pump,ON
22.35,21.68,73.59,35.55,1,3,closed,open,1687.75,1,1,0,activate the cctv_camera,bedroom,evening,cctv_camera,ON
17.89,38.96,71.81,66.67,0,0,open,open,1178.77,0,1,0,how s the dehumidifier,bathroom,evening,dehumidifier,ON
27.48,35.13,7.27,45.42,0,1,open,open,587.25,1,0,1,activate the door,bathroom,afternoon,door,ON
19.51,69.03,28.28,34.82,0,1,closed,closed,819.07,1,0,0,deactivate the humidifier,balcony,morning,humidifier,OFF
34.16,70.8,67.81,13.55,1,0,closed,closed,1333.14,1,1,1,start the desk_lamp,office,afternoon,desk_lamp,ON
39.9,33.41,34.75,65.28,1,3,closed,closed,1994.23,1,0,0,turn off the heater,kitchen,morning,heater,OFF
30.42,77.71,24.62,48.85,1,1,open,closed,1354.18,1,1,1,close the desk_lamp,office,afternoon,desk_lamp,OFF
15.32,30.25,64.06,17.92,1,0,open,open,1888.07,1,1,0,deactivate the dehumidifier,kitchen,evening,dehumidifier,OFF
32.65,87.16,56.44,50.91,1,0,open,closed,1335.37,1,1,1,activate the heater,balcony,afternoon,heater,ON
36.34,80.63,47.21,18.4,0,1,closed,open,703.55,1,1,1,check the cctv_camera,garage,night,cctv_camera,ON
36.78,48.67,25.01,36.55,1,2,open,open,1828.03,0,0,1,is the ac off,balcony,morning,ac,OFF
23.59,80.3,27.34,43.24,0,0,closed,open,1289.39,1,1,1,check the aquarium_pump,living_room,morning,aquarium_pump,ON
19.8,77.55,93.34,16.29,1,2,closed,open,481.45,1,0,1,start the dehumidifier,balcony,night,dehumidifier,ON
20.74,46.6,23.43,54.1,0,2,open,closed,1468.63,1,1,0,switch off the refrigerator,bathroom,evening,refrigerator,OFF
34.71,50.05,40.0,11.75,1,1,open,open,1090.77,1,1,0,start the cctv_camera,living_room,night,cctv_camera,ON
37.81,48.27,89.56,33.46,1,0,closed,closed,484.95,0,1,1,what s up with the dehumidifier,office,afternoon,dehumidifier,ON
34.49,79.51,21.95,49.11,0,3,closed,open,1796.02,1,0,0,is the refrigerator on,office,afternoon,refrigerator,ON
32.04,29.11,90.08,58.7,1,2,closed,closed,1975.6,1,1,1,is the tv off,kitchen,evening,tv,OFF
37.63,57.2,66.86,79.31,1,2,open,open,1352.51,1,1,0,is the refrigerator off,living_room,night,refrigerator,OFF
22.1,62.72,77.29,31.6,1,3,open,closed,974.35,0,0,0,deactivate the geyser,living_room,evening,geyser,OFF
26.99,46.56,81.19,55.17,0,2,open,closed,963.72,1,1,0,close the phone_charger,kitchen,afternoon,phone_charger,OFF
22.18,56.59,8.64,37.63,0,1,closed,open,1774.92,1,0,1,stop the dehumidifier,balcony,night,dehumidifier,OFF
38.54,41.14,79.34,32.07,0,2,open,closed,472.47,1,0,1,close the refrigerator,office,evening,refrigerator,OFF
33.6,20.85,44.85,19.19,0,0,open,closed,1189.53,1,1,1,what s up with the dehumidifier,office,morning,dehumidifier,ON
28.49,21.73,34.56,26.7,1,0,open,closed,444.81,1,1,0,close the window,living_room,morning,window,OFF
24.32,75.63,55.96,59.28,1,0,closed,closed,1199.32,0,0,1,activate the refrigerator,bathroom,afternoon,refrigerator,ON
21.3,60.87,23.36,20.54,1,1,open,closed,1817.35,0,1,0,activate the curtain,office,evening,curtain,ON
37.1,25.5,13.23,58.94,0,0,open,closed,1918.5,1,1,0,turn off the fan,garage,afternoon,fan,OFF
18.79,23.8,29.68,12.16,0,1,closed,closed,1644.8,0,0,0,is the window off,kitchen,night,window,OFF
29.73,22.64,80.58,33.96,1,1,open,open,1967.34,0,1,1,switch off the door,garage,morning,door,OFF
17.23,36.18,26.56,24.17,0,3,open,open,1924.06,1,0,1,switch off the curtain,kitchen,evening,curtain,OFF
32.5,79.74,62.91,21.5,0,2,closed,closed,1281.85,0,1,1,stop the coffee_maker,office,night,coffee_maker,OFF
17.66,52.41,14.77,46.57,0,0,closed,open,1436.54,1,1,1,deactivate the phone_charger,bathroom,morning,phone_charger,OFF
32.72,82.32,83.84,25.2,0,1,open,open,1867.0,0,0,0,what s up with the coffee_maker,bedroom,evening,coffee_maker,OFF
19.77,21.91,94.95,11.63,0,2,open,open,798.25,0,1,0,how s the phone_charger,bedroom,morning,phone_charger,ON
28.9,44.04,38.79,41.97,0,2,closed,open,1721.61,1,1,1,is the cctv_camera off,balcony,afternoon,cctv_camera,OFF
39.75,40.81,30.3,74.45,0,1,open,closed,1610.2,0,0,0,activate the phone_charger,garage,afternoon,phone_charger,ON
37.68,50.54,54.69,20.68,1,0,closed,open,801.37,1,0,0,start the coffee_maker,garage,afternoon,coffee_maker,OFF
29.4,25.52,90.3,13.43,1,3,open,closed,987.21,0,0,1,activate the geyser,balcony,night,geyser,ON
23.29,79.28,57.24,18.94,1,2,open,closed,1096.85,0,0,1,turn off the refrigerator,bathroom,morning,refrigerator,OFF
16.08,66.54,83.63,45.91,1,1,open,open,1152.6,0,1,0,turn off the music_system,kitchen,morning,music_system,OFF
37.45,37.86,36.84,39.0,1,1,closed,open,450.78,1,0,1,deactivate the aquarium_pump,kitchen,afternoon,aquarium_pump,OFF
25.76,28.37,43.0,23.1,0,3,open,closed,431.17,1,1,1,is the light off,balcony,morning,light,OFF
39.72,34.34,86.71,57.14,0,3,closed,open,1418.42,1,0,1,turn on the heater,garage,morning,heater,ON
37.85,54.62,15.38,72.34,0,3,closed,closed,1003.63,0,0,1,stop the curtain,office,evening,curtain,OFF
17.15,27.61,85.02,58.65,0,2,open,open,1257.55,0,0,1,switch off the curtain,living_room,night,curtain,OFF
19.82,84.48,12.31,74.12,0,3,open,open,1131.14,0,0,0,is the phone_charger on,garage,morning,phone_charger,ON
15.2,66.55,44.49,62.75,0,3,open,closed,1153.51,1,0,0,activate the cctv_camera,balcony,afternoon,cctv_camera,ON
18.61,25.29,51.13,74.92,0,2,closed,closed,1343.43,0,1,1,activate the music_system,garage,afternoon,music_system,ON
32.67,33.64,19.55,51.57,0,0,open,open,1665.7,1,0,1,is the dehumidifier on,bathroom,afternoon,dehumidifier,ON
36.55,31.23,44.63,31.01,1,0,open,closed,1839.5,1,0,0,what s up with the coffee_maker,living_room,night,coffee_maker,OFF
20.58,32.36,82.69,62.22,0,2,closed,open,1734.61,0,1,0,switch on the dehumidifier,bathroom,night,dehumidifier,ON
28.46,61.33,96.36,52.72,0,2,open,closed,1125.01,0,1,1,is the ac on,office,morning,ac,ON
26.13,51.85,90.04,46.39,0,2,closed,open,406.89,1,1,0,stop the window,balcony,night,window,OFF
18.69,82.11,21.35,63.89,1,3,open,closed,427.96,1,0,1,close the fan,garage,morning,fan,OFF
22.6,25.48,68.85,60.15,1,0,open,closed,1535.93,0,0,1,turn on the window,balcony,evening,window,ON
38.17,73.61,76.59,69.08,1,1,closed,closed,1003.25,1,1,1,switch on the cctv_camera,kitchen,evening,cctv_camera,ON
26.32,53.07,90.7,53.27,0,3,open,closed,1078.67,1,0,0,turn on the tv,living_room,evening,tv,ON
25.06,68.42,28.24,42.85,1,2,open,closed,1919.67,0,0,1,turn on the refrigerator,balcony,afternoon,refrigerator,ON
16.27,44.06,64.86,30.83,1,0,open,closed,1122.22,0,1,1,what s up with the fan,kitchen,evening,fan,ON
22.61,76.53,45.98,54.9,1,3,closed,open,863.73,0,0,0,check the heater,garage,afternoon,heater,ON
18.99,61.64,32.46,60.9,1,0,closed,closed,724.43,0,1,0,switch off the desk_lamp,balcony,evening,desk_lamp,OFF
23.1,58.35,22.31,52.59,1,2,open,closed,1928.24,1,1,0,check the window,office,night,window,ON
34.33,61.59,23.57,41.37,0,3,open,open,690.93,0,1,1,activate the music_system,bathroom,evening,music_system,ON
15.48,69.79,63.88,64.25,0,3,open,open,1986.14,1,1,1,what s up with the refrigerator,bathroom,evening,refrigerator,ON
23.82,49.91,16.22,44.71,0,1,open,closed,656.84,1,0,0,is the coffee_maker off,bedroom,afternoon,coffee_maker,OFF
26.23,57.27,76.8,18.15,1,3,open,closed,1881.17,0,0,1,turn on the desk_lamp,bedroom,morning,desk_lamp,ON
39.72,78.9,77.27,72.37,1,2,closed,open,1478.37,1,0,0,deactivate the refrigerator,kitchen,evening,refrigerator,OFF
33.77,57.13,23.81,63.8,1,0,closed,open,1089.72,0,1,1,stop the ac,bathroom,night,ac,OFF
19.0,71.24,72.29,50.85,0,2,closed,closed,1421.78,1,0,1,turn off the geyser,balcony,afternoon,geyser,OFF
28.13,79.88,15.8,79.59,0,3,closed,closed,1906.55,0,1,0,is the music_system off,bedroom,morning,music_system,OFF
17.91,79.67,12.18,46.9,1,0,open,closed,1082.53,0,1,0,is the water_motor on,office,afternoon,water_motor,ON
31.2,66.67,95.65,53.72,0,3,open,closed,1135.17,0,0,1,is the curtain off,bathroom,afternoon,curtain,OFF
29.31,40.66,60.45,71.3,0,2,closed,open,1767.49,0,0,0,activate the desk_lamp,living_room,afternoon,desk_lamp,ON
28.25,76.79,65.62,10.01,0,1,closed,closed,559.88,1,0,0,stop the cctv_camera,office,evening,cctv_camera,OFF
34.72,39.61,49.35,57.46,1,3,closed,closed,505.76,1,0,0,activate the ac,bathroom,afternoon,ac,ON
18.77,53.4,58.48,52.26,1,1,closed,closed,1656.79,1,0,1,switch on the ac,office,night,ac,ON
28.46,64.39,24.6,11.42,0,2,open,closed,1957.14,1,1,1,deactivate the geyser,office,afternoon,geyser,OFF
35.53,33.0,10.76,26.58,1,0,closed,closed,624.9,1,1,1,is the light off,balcony,afternoon,light,OFF
26.18,83.76,47.96,50.52,1,2,open,open,705.7,1,0,0,turn on the light,living_room,afternoon,light,ON
18.46,85.52,9.59,11.75,0,1,open,closed,628.63,1,1,0,start the coffee_maker,office,afternoon,coffee_maker,OFF
18.87,83.42,30.87,51.72,0,3,open,closed,1998.18,1,1,1,deactivate the water_motor,bathroom,evening,water_motor,OFF
29.31,52.66,5.52,33.9,1,0,closed,closed,1636.8,0,1,1,switch on the ac,bedroom,evening,ac,ON
22.11,23.56,35.61,21.11,1,3,closed,closed,1027.44,1,0,0,start the geyser,office,afternoon,geyser,ON
28.71,61.1,67.58,52.94,0,2,closed,closed,815.52,0,1,1,what s up with the cctv_camera,bathroom,afternoon,cctv_camera,ON
30.61,20.01,59.35,56.99,1,0,closed,closed,486.81,0,0,1,check the phone_charger,balcony,night,phone_charger,ON
23.59,69.98,44.8,42.37,1,0,closed,open,1408.41,1,0,1,is the geyser on,bathroom,evening,geyser,ON
35.63,40.0,18.18,32.16,0,1,open,closed,469.83,1,0,1,open the coffee_maker,balcony,evening,coffee_maker,OFF
21.25,78.15,59.73,55.3,1,0,closed,closed,1915.66,1,1,1,turn off the heater,balcony,evening,heater,OFF
35.94,51.5,12.8,41.36,0,0,open,open,650.18,1,0,1,what s up with the water_motor,balcony,night,water_motor,ON
28.01,67.91,55.46,17.98,1,2,closed,open,939.7,0,0,1,turn off the geyser,bedroom,evening,geyser,OFF
37.83,24.78,97.65,42.5,1,2,open,open,1975.07,0,0,0,start the light,bedroom,night,light,ON
30.24,47.83,6.97,20.52,1,3,open,closed,1710.98,1,0,1,stop the air_purifier,bedroom,night,air_purifier,OFF
17.3,72.15,69.69,31.41,0,2,open,closed,449.6,1,1,0,switch off the curtain,living_room,afternoon,curtain,OFF
35.2,76.44,56.75,66.56,0,0,closed,open,1305.37,0,0,1,status of the phone_charger,office,afternoon,phone_charger,ON
38.5,31.16,73.98,33.59,1,2,open,closed,1993.45,0,0,1,start the cctv_camera,bathroom,morning,cctv_camera,ON
15.95,81.2,59.12,67.31,0,3,open,closed,574.33,0,1,1,check the fan,bedroom,evening,fan,ON
25.07,22.05,33.91,18.61,0,2,open,open,935.88,1,1,1,how s the ac,kitchen,evening,ac,ON
34.58,54.51,96.82,65.31,0,2,closed,open,447.12,0,1,0,how s the refrigerator,balcony,night,refrigerator,ON
31.04,73.54,47.1,51.43,1,1,closed,open,1251.75,0,0,1,switch on the water_motor,kitchen,morning,water_motor,ON
28.42,45.44,57.15,21.08,0,3,closed,open,1006.86,0,0,0,status of the curtain,living_room,afternoon,curtain,ON
31.21,89.24,25.95,35.96,0,0,open,closed,459.55,0,0,1,start the curtain,garage,morning,curtain,ON
28.96,32.56,29.71,78.5,1,2,closed,open,1476.55,0,0,0,is the light on,bedroom,morning,light,ON
29.77,51.12,13.19,58.64,0,1,open,open,880.84,1,1,0,open the music_system,bedroom,afternoon,music_system,ON
16.33,47.98,38.56,60.2,1,3,closed,open,1159.68,1,0,0,switch on the door,bathroom,night,door,ON
19.13,77.46,22.48,60.61,1,3,closed,open,1053.19,1,0,0,open the dehumidifier,kitchen,night,dehumidifier,ON
15.75,58.54,29.24,44.7,1,2,closed,open,1154.51,1,0,1,is the curtain on,kitchen,evening,curtain,ON
36.33,77.61,93.82,48.17,1,1,open,closed,1116.85,1,1,0,is the music_system on,garage,night,music_system,ON
15.17,51.36,33.55,46.73,0,0,closed,closed,1865.44,1,1,1,is the water_motor off,bedroom,night,water_motor,OFF
30.89,89.16,99.78,76.05,0,0,closed,closed,1411.69,0,1,0,check the heater,living_room,morning,heater,ON
32.42,81.2,20.75,34.67,0,1,open,closed,1826.31,1,0,0,activate the window,bedroom,evening,window,ON
28.74,83.96,86.26,36.24,1,2,open,closed,1124.56,0,1,0,open the ac,garage,afternoon,ac,ON
23.45,62.13,11.93,60.67,0,2,open,closed,1924.49,1,1,1,stop the curtain,garage,morning,curtain,OFF
33.0,53.68,65.14,32.36,1,2,open,closed,868.28,1,0,0,stop the desk_lamp,living_room,afternoon,desk_lamp,OFF
22.95,58.61,91.01,10.21,1,0,open,open,972.55,1,1,0,status of the ac,balcony,morning,ac,ON
34.65,82.93,13.01,34.64,1,3,open,closed,1839.3,1,0,0,close the refrigerator,balcony,afternoon,refrigerator,OFF
19.54,71.85,27.45,72.9,0,0,closed,closed,1742.58,0,1,1,check the fan,balcony,morning,fan,ON
25.88,46.12,84.7,57.27,1,3,open,open,616.03,0,0,0,open the cctv_camera,kitchen,evening,cctv_camera,ON
27.56,54.41,97.57,74.12,0,0,closed,open,433.95,0,1,0,what s up with the aquarium_pump,bedroom,morning,aquarium_pump,ON
34.38,72.44,43.82,29.68,1,3,closed,closed,1095.9,1,0,0,is the desk_lamp off,living_room,morning,desk_lamp,OFF
17.77,52.48,32.6,77.73,1,2,closed,closed,1522.63,0,1,1,stop the curtain,kitchen,evening,curtain,OFF
15.09,36.41,78.81,18.12,0,1,closed,closed,1257.56,0,0,1,how s the fan,living_room,morning,fan,ON
19.0,23.49,85.51,69.52,0,3,open,closed,1649.36,1,0,0,switch on the geyser,garage,evening,geyser,ON
32.52,52.24,49.14,76.73,1,1,open,open,1977.45,1,1,1,is the heater on,bathroom,morning,heater,ON
20.14,77.72,89.3,79.69,1,2,open,closed,1907.1,0,0,1,turn on the geyser,garage,evening,geyser,ON
29.74,47.57,5.21,18.72,0,1,open,open,843.34,0,0,1,start the curtain,bedroom,morning,curtain,ON
34.07,52.38,29.57,15.77,0,1,open,closed,1128.59,1,0,0,check the dehumidifier,kitchen,night,dehumidifier,ON
39.24,56.69,87.89,73.17,1,3,open,open,1769.5,0,0,0,check the refrigerator,bedroom,morning,refrigerator,ON
21.29,53.02,33.35,15.95,1,0,open,open,1304.91,1,0,1,close the fan,balcony,night,fan,OFF
38.88,49.54,32.57,57.39,0,3,closed,closed,1960.37,0,1,0,deactivate the water_motor,bedroom,night,water_motor,OFF
16.54,36.21,73.72,76.02,0,3,closed,open,1677.24,1,0,1,check the humidifier,balcony,night,humidifier,ON
30.2,82.93,38.15,24.58,0,1,closed,open,1358.89,1,1,1,how s the water_motor,bathroom,morning,water_motor,ON
28.36,71.93,51.06,52.58,0,3,open,open,1193.23,1,0,0,check the window,living_room,night,window,ON
30.39,89.94,44.17,75.56,1,0,open,open,1722.28,0,0,1,stop the heater,bedroom,afternoon,heater,OFF
28.76,45.91,9.03,29.03,0,2,closed,open,997.95,1,0,0,turn off the fan,office,evening,fan,OFF
26.72,20.15,82.98,77.18,1,1,open,open,520.76,0,0,1,open the music_system,balcony,afternoon,music_system,ON
30.82,36.69,75.88,75.04,0,0,open,open,693.76,0,0,1,switch off the air_purifier,living_room,night,air_purifier,OFF
35.97,70.52,47.41,31.29,1,1,open,open,573.95,0,0,0,is the aquarium_pump on,garage,morning,aquarium_pump,ON
24.23,60.29,41.56,15.89,0,3,closed,open,756.86,0,1,0,switch on the tv,garage,afternoon,tv,ON
15.82,69.69,70.94,39.59,1,1,closed,closed,1225.7,0,1,1,what s up with the door,garage,morning,door,ON
31.0,87.23,79.11,57.06,1,1,open,open,1768.12,1,0,0,deactivate the ac,garage,evening,ac,OFF
30.32,81.56,67.93,47.96,1,2,open,open,1996.89,1,0,0,turn on the music_system,balcony,morning,music_system,ON
24.19,24.36,23.43,62.34,1,1,open,closed,1608.91,0,0,0,close the water_motor,office,evening,water_motor,OFF
33.78,62.63,24.89,31.54,1,2,closed,open,556.46,0,1,1,how s the window,office,evening,window,ON
27.19,62.6,71.31,55.58,1,3,open,open,1651.83,0,0,1,status of the dehumidifier,bedroom,afternoon,dehumidifier,ON
36.59,62.1,43.08,33.87,0,1,closed,open,1243.66,0,1,1,check the water_motor,office,afternoon,water_motor,ON
27.76,86.54,39.17,67.94,1,3,closed,open,1712.91,1,1,0,stop the fan,balcony,night,fan,OFF
26.75,54.62,22.15,55.39,0,3,open,closed,1543.35,1,0,1,check the air_purifier,balcony,afternoon,air_purifier,ON
27.21,79.05,17.81,56.23,0,3,closed,closed,1251.7,0,1,0,is the humidifier off,office,afternoon,humidifier,OFF
17.41,71.37,56.99,55.28,0,0,closed,closed,609.66,0,0,1,switch on the ac,office,night,ac,ON
36.04,45.2,91.78,65.25,1,1,closed,open,1212.44,1,1,0,close the fan,balcony,night,fan,OFF
19.97,38.01,30.39,34.71,1,2,closed,open,1352.51,1,0,1,activate the door,kitchen,evening,door,ON
34.76,69.0,83.13,26.62,0,1,open,closed,573.28,0,1,0,switch on the music_system,balcony,evening,music_system,ON
35.78,26.0,75.74,69.98,0,2,closed,open,1715.84,1,1,1,how s the coffee_maker,living_room,night,coffee_maker,OFF
17.0,59.37,58.54,77.44,0,1,open,closed,657.15,1,1,1,switch on the refrigerator,bathroom,night,refrigerator,ON
25.34,24.05,27.76,64.38,1,3,open,closed,1149.55,0,0,0,what s up with the geyser,living_room,morning,geyser,ON
19.04,88.71,28.15,13.14,1,2,open,closed,1636.19,0,1,1,check the cctv_camera,bathroom,night,cctv_camera,ON
17.45,34.75,44.67,68.19,1,1,open,open,1904.37,1,1,0,switch off the geyser,balcony,night,geyser,OFF
35.95,85.48,67.22,58.81,1,2,open,open,1724.27,1,1,0,is the air_purifier on,bedroom,afternoon,air_purifier,ON
39.48,29.43,66.93,54.27,0,2,open,closed,1024.31,0,1,0,close the door,balcony,evening,door,OFF
31.29,22.83,17.73,75.72,1,0,open,open,1850.07,1,1,1,check the geyser,living_room,night,geyser,ON
20.41,52.56,88.05,27.4,1,0,open,open,1839.23,1,1,1,is the coffee_maker off,office,afternoon,coffee_maker,OFF
16.02,25.95,24.58,71.66,0,3,closed,closed,422.3,1,1,0,what s up with the window,office,evening,window,ON
34.13,45.74,44.8,13.07,0,0,closed,open,807.45,0,1,1,turn on the dehumidifier,living_room,evening,dehumidifier,ON
36.71,44.87,45.68,48.44,1,3,open,open,1376.98,0,0,1,status of the tv,bathroom,afternoon,tv,ON
15.25,78.12,17.62,58.2,0,1,open,closed,784.65,0,0,0,is the refrigerator on,balcony,afternoon,refrigerator,ON
24.25,27.61,12.49,71.28,0,3,closed,open,1328.61,0,0,0,close the tv,garage,evening,tv,OFF
37.59,20.89,96.48,53.9,0,3,open,closed,986.98,0,0,1,close the air_purifier,balcony,evening,air_purifier,OFF
29.29,78.28,36.79,38.29,0,2,closed,open,1053.08,1,1,1,activate the cctv_camera,kitchen,afternoon,cctv_camera,ON
22.14,23.66,6.22,31.29,0,0,closed,open,1893.9,1,0,1,switch on the window,living_room,morning,window,ON
25.12,47.45,95.31,76.6,0,3,closed,open,1704.17,0,1,1,switch on the aquarium_pump,balcony,afternoon,aquarium_pump,ON
39.11,80.39,53.61,30.15,1,1,closed,closed,1289.06,1,0,0,switch on the phone_charger,kitchen,night,phone_charger,ON
32.08,79.27,79.12,33.05,0,1,closed,open,1818.22,1,1,1,is the humidifier off,bedroom,evening,humidifier,OFF
18.68,31.21,44.79,67.34,0,2,closed,open,1116.54,1,1,1,is the refrigerator off,bedroom,afternoon,refrigerator,OFF
38.81,51.44,68.67,22.23,1,1,open,closed,1302.52,0,0,1,turn on the air_purifier,living_room,evening,air_purifier,ON
26.05,43.8,6.86,47.77,0,2,closed,closed,832.34,0,1,1,stop the air_purifier,kitchen,morning,air_purifier,OFF
23.61,38.08,7.99,60.11,1,3,closed,open,1187.7,1,1,1,is the window off,living_room,night,window,OFF
32.42,31.59,78.34,46.27,1,3,closed,open,1013.63,0,1,0,start the aquarium_pump,bathroom,evening,aquarium_pump,ON
31.72,58.6,41.06,65.03,1,2,open,closed,672.54,0,0,0,turn off the ac,garage,morning,ac,OFF
28.52,50.18,48.63,16.96,0,0,closed,closed,1399.67,1,1,1,turn off the humidifier,office,morning,humidifier,OFF
35.21,70.08,83.35,14.85,1,1,closed,closed,1008.62,0,1,1,status of the air_purifier,office,evening,air_purifier,ON
21.58,88.06,23.73,37.02,1,3,closed,open,1696.59,0,1,0,switch on the air_purifier,balcony,night,air_purifier,ON
37.75,58.21,64.79,30.98,0,2,open,open,1124.09,1,1,1,stop the window,kitchen,morning,window,OFF
22.54,54.65,84.83,47.36,1,0,open,closed,841.3,1,0,1,check the cctv_camera,kitchen,evening,cctv_camera,ON
23.76,79.17,74.03,68.54,1,3,open,closed,1565.11,0,1,0,close the humidifier,balcony,evening,humidifier,OFF
15.37,74.72,79.88,41.49,1,0,closed,open,1679.66,0,0,1,deactivate the desk_lamp,bathroom,morning,desk_lamp,OFF
15.08,38.17,77.79,69.05,1,1,closed,open,1026.42,0,0,1,open the heater,living_room,night,heater,ON
34.89,42.98,21.07,35.95,0,1,closed,open,1404.8,1,1,0,turn on the water_motor,office,night,water_motor,ON
22.53,46.13,31.74,63.06,1,0,closed,closed,857.51,1,0,1,open the tv,bathroom,evening,tv,ON
38.69,69.22,42.38,24.26,1,1,open,open,670.67,1,0,0,is the phone_charger on,kitchen,afternoon,phone_charger,ON
24.57,64.23,95.41,66.67,1,1,open,closed,896.66,0,0,0,stop the desk_lamp,kitchen,night,desk_lamp,OFF
24.45,31.48,8.95,60.1,0,1,closed,closed,1330.05,1,1,0,open the door,office,morning,door,ON
34.95,49.35,35.24,51.3,1,3,closed,closed,827.61,1,0,1,is the music_system off,bathroom,morning,music_system,OFF
20.88,57.92,84.01,19.64,1,3,closed,open,1918.07,1,1,1,what s up with the refrigerator,living_room,night,refrigerator,ON
31.03,66.01,39.44,19.24,1,3,closed,open,1720.83,1,0,1,turn on the curtain,balcony,night,curtain,ON
20.62,87.64,13.26,38.5,0,3,open,closed,1417.34,0,1,1,deactivate the curtain,office,morning,curtain,OFF
32.97,60.36,21.81,44.11,1,3,open,open,1457.25,1,0,0,start the geyser,garage,afternoon,geyser,ON
27.21,35.95,37.43,49.3,0,1,closed,closed,1193.1,1,1,1,is the desk_lamp off,kitchen,evening,desk_lamp,OFF
22.36,89.85,22.29,42.55,1,0,open,closed,606.42,0,1,0,is the water_motor on,office,afternoon,water_motor,ON
35.24,22.51,22.44,70.03,1,1,open,open,1200.61,0,0,1,activate the heater,living_room,evening,heater,ON
30.45,79.61,71.5,65.56,0,1,open,open,663.53,0,1,1,start the coffee_maker,garage,afternoon,coffee_maker,OFF
39.97,82.32,38.18,47.69,1,1,closed,closed,1391.64,0,0,0,start the curtain,living_room,evening,curtain,ON
34.37,39.46,49.47,75.49,1,1,closed,closed,416.86,1,0,1,check the music_system,office,evening,music_system,ON
32.66,35.62,6.27,11.15,0,1,closed,open,693.45,1,0,0,how s the dehumidifier,garage,afternoon,dehumidifier,ON
39.54,45.76,24.18,15.24,0,3,closed,closed,1355.52,0,0,1,switch off the phone_charger,office,afternoon,phone_charger,OFF
38.32,87.79,24.47,15.51,0,2,open,closed,1253.33,0,1,0,start the aquarium_pump,living_room,morning,aquarium_pump,ON
34.27,54.84,31.21,51.7,0,2,open,open,1667.42,0,0,1,what s up with the air_purifier,bathroom,morning,air_purifier,ON
24.1,77.32,53.74,21.91,1,1,closed,open,1038.94,0,1,1,is the door off,balcony,afternoon,door,OFF
16.26,76.14,34.92,74.05,1,0,closed,closed,1192.01,0,0,1,what s up with the air_purifier,bedroom,night,air_purifier,ON
24.86,41.37,59.5,67.86,0,1,open,closed,744.98,0,1,1,check the ac,garage,evening,ac,ON
25.74,78.87,67.46,65.22,0,0,open,open,1794.99,1,0,0,close the humidifier,kitchen,night,humidifier,OFF
34.61,86.13,6.57,21.73,0,0,open,open,798.64,1,0,1,stop the curtain,kitchen,evening,curtain,OFF
34.68,84.57,67.18,70.99,0,3,closed,closed,1833.04,1,0,0,switch off the window,balcony,morning,window,OFF
39.46,21.62,25.84,54.3,1,0,closed,closed,1155.27,1,0,0,turn off the fan,office,night,fan,OFF
27.74,52.58,62.26,10.27,1,2,closed,open,577.71,1,0,1,is the aquarium_pump on,bathroom,afternoon,aquarium_pump,ON
39.91,75.19,83.51,10.67,0,1,closed,closed,1119.02,0,0,1,check the desk_lamp,kitchen,afternoon,desk_lamp,ON
37.87,21.4,93.48,55.36,1,3,closed,open,1756.09,1,1,0,activate the curtain,office,afternoon,curtain,ON
30.75,74.84,90.46,68.54,1,1,open,closed,1380.87,0,1,1,how s the door,bathroom,evening,door,ON
